district_name,block_name,gp_name,village_name,village_code,village_latitude,village_longitude,total_hhd,TOT_P,TOT_M,TOT_F,P_SC,P_ST,P_LIT,P_ILL,TOT_WORK_P,MAINWORK_P,MARGWORK_P,total_hhd_having_piped_water_connection,total_no_of_community_toilets_constructed,availability_of_phc,availability_of_chc,distance_of_phc,distance_of_chc,total_no_of_schools_primary_sections,total_no_of_schools_middle_sections,availability_of_high_school,availability_of_ssc_school,is_village_connected_to_all_weather_road,distance_of_all_weather_road,availability_of_internal_pucca_road,availablility_hours_of_domestic_electricity,is_broadband_available,no_of_shgs_under_nrlm,total_hhd_mobilized_into_shg,total_no_of_shg_promoted,total_shg_members_engaged_in_income_generation_activities,availability_of_cottage_small_scale_units,total_hhd_engaged_cottage_small_scale_units,piped_water_pct,toilet_per_100hh,sanitation_deficit_raw,sanitation_deficit,has_health_fac,min_health_distance,health_deficit_raw,health_deficit,total_schools,schools_per_1000,education_deficit_raw,education_deficit,service_deficit_index,road_deficit_raw,road_deficit,digital_deficit_raw,digital_deficit,electricity_deficit_raw,electricity_deficit,score_piped_water,score_toilets,score_sanitation,theme_water_sanitation_score,score_phc_avail,score_chc_avail,score_health_distance,score_health_deficit,theme_health_score,score_schools_per_1000,score_high_school_avail,score_ssc_school_avail,score_education_deficit,theme_education_score,score_all_weather_connectivity,score_all_weather_distance,score_internal_pucca_road,score_road_deficit,theme_roads_score,score_electricity_hours,score_broadband,score_digital_deficit,score_electricity_deficit,theme_digital_electricity_score,shg_coverage_pct,iga_members_pct,cottage_units_coverage_pct,score_shg_coverage,score_iga_members,score_cottage_units,score_cottage_avail,theme_livelihood_score,score_service_deficit,theme_service_score,pdi_village,pdi_grade
CHAMPAWAT,BARAKOT,AAGAR,Chaura Shah,54202,29.445848,80.116762,10,83.0,35.0,48.0,58.0,0.0,38.0,45.0,28.0,1.0,27.0,4,0,2,2,5,5,1,0,2,2,1,0,3,4,1,3,10,0,0,2,0,40.0,0.0,0.6,0.6,1,5.0,0.6,1.0,5,60.24096385542169,0.9849397590361446,0.9849397590361446,0.8754819277108434,0.0,1.0,0,1.0,0.25,0.25,40.0,0.0,99.4,46.46666666666667,100.0,100.0,0.0,99.0,74.75,1.5060240963855422,100.0,100.0,99.01506024096386,75.13027108433735,100.0,100.0,100.0,99.0,99.75,75.0,100.0,99.0,99.75,93.4375,100.0,0.0,0.0,100.0,0.0,0.0,100.0,50.0,99.12451807228916,99.12451807228916,70.38746079189735,B
CHAMPAWAT,BARAKOT,AAGAR,Aagar,54207,29.44939,80.115116,98,516.0,268.0,248.0,46.0,0.0,374.0,142.0,192.0,127.0,65.0,18,0,2,2,5,5,1,0,2,2,1,0,3,3,1,8,54,6,0,2,0,18.367346938775512,0.0,0.8163265306122449,0.8163265306122449,1,5.0,0.6,1.0,5,9.689922480620154,0.997577519379845,0.997577519379845,0.9441712149976268,0.0,1.0,0,1.0,0.5,0.5,18.367346938775512,0.0,99.18367346938776,39.183673469387756,100.0,100.0,0.0,99.0,74.75,0.2422480620155039,100.0,100.0,99.00242248062015,74.81116763565892,100.0,100.0,100.0,99.0,99.75,50.0,100.0,99.0,99.5,87.125,55.10204081632653,0.0,0.0,55.10204081632653,0.0,0.0,100.0,38.775510204081634,99.05582878500238,99.05582878500238,64.77130778088173,B
CHAMPAWAT,BARAKOT,AAGAR,Naini Mahar,54208,29.44939,80.115116,35,109.0,46.0,63.0,12.0,0.0,66.0,43.0,35.0,18.0,17.0,0,0,2,2,5,5,0,0,2,2,2,5,3,3,1,3,20,0,0,2,0,0.0,0.0,1.0,1.0,1,5.0,0.6,1.0,4,36.69724770642202,0.9908256880733946,0.9908256880733946,0.9972477064220184,-0.1999999999999999,0.6153846153846155,0,1.0,0.5,0.5,0.0,0.0,99.0,33.0,100.0,100.0,0.0,99.0,74.75,0.9174311926605504,100.0,100.0,99.0091743119266,74.98165137614679,100.0,0.0,100.0,99.38461538461539,74.84615384615384,50.0,100.0,99.0,99.5,87.125,57.142857142857146,0.0,0.0,57.142857142857146,0.0,0.0,100.0,39.285714285714285,99.00275229357798,99.00275229357798,60.15492344807648,B
CHAMPAWAT,BARAKOT,BAIRA BADWAL,Baila,54137,29.485274,80.01454,0,18.0,9.0,9.0,18.0,0.0,8.0,10.0,5.0,0.0,5.0,0,0,2,2,5,5,0,0,2,2,2,2,3,5,2,0,0,0,0,2,0,0.0,0.0,1.0,1.0,1,5.0,0.6,1.0,4,222.2222222222222,0.9444444444444444,0.9444444444444444,0.9833333333333334,-0.4399999999999999,0.1538461538461539,-1,0.0,0.0,0.0,0.0,0.0,99.0,33.0,100.0,100.0,0.0,99.0,74.75,5.5555555555555545,100.0,100.0,99.05555555555556,76.15277777777777,100.0,60.0,100.0,99.84615384615384,89.96153846153845,100.0,100.0,100.0,100.0,100.0,,0.0,,,0.0,,100.0,50.0,99.01666666666667,99.01666666666667,66.24294431908415,B
CHAMPAWAT,BARAKOT,BAIRA BADWAL,Baira Badwal,54138,29.485274,80.01454,205,777.0,377.0,400.0,136.0,0.0,499.0,278.0,426.0,53.0,373.0,35,0,2,2,5,5,2,0,2,2,1,0,3,4,2,14,70,2,1,2,0,17.073170731707318,0.0,0.8292682926829268,0.8292682926829268,1,5.0,0.6,1.0,6,7.722007722007723,0.998069498069498,0.998069498069498,0.9482013372257274,0.0,1.0,-1,0.0,0.25,0.25,17.073170731707318,0.0,99.17073170731707,38.7479674796748,100.0,100.0,0.0,99.0,74.75,0.19305019305019305,100.0,100.0,99.0019305019305,74.79874517374517,100.0,100.0,100.0,99.0,99.75,75.0,100.0,100.0,99.75,93.6875,34.146341463414636,0.1287001287001287,0.0,34.146341463414636,0.38610038610038605,0.0,100.0,33.63311046237875,99.05179866277427,99.05179866277427,63.902718993855686,B
CHAMPAWAT,BARAKOT,BAIRAOM,Bamaira,54135,29.413845,80.082417,12,107.0,56.0,51.0,107.0,0.0,70.0,37.0,19.0,2.0,17.0,0,0,2,2,5,5,0,0,2,2,1,0,3,4,2,2,0,2,12,2,0,0.0,0.0,1.0,1.0,1,5.0,0.6,1.0,4,37.38317757009346,0.9906542056074766,0.9906542056074766,0.997196261682243,0.0,1.0,-1,0.0,0.25,0.25,0.0,0.0,99.0,33.0,100.0,100.0,0.0,99.0,74.75,0.9345794392523364,100.0,100.0,99.00934579439253,74.98598130841121,100.0,100.0,100.0,99.0,99.75,75.0,100.0,100.0,99.75,93.6875,0.0,11.214953271028037,0.0,0.0,33.64485981308411,0.0,100.0,33.41121495327103,99.00280373831775,99.00280373831775,62.17254898625979,B
CHAMPAWAT,BARAKOT,BAIRAOM,Bairaorn,54136,29.414663,80.07532,12,372.0,195.0,177.0,371.0,0.0,238.0,134.0,95.0,10.0,85.0,0,1,2,2,4,4,1,0,2,1,1,0,3,4,2,2,10,2,12,2,0,0.0,8.333333333333332,1.0,1.0,1,4.0,0.4499999999999999,0.75,4,10.752688172043012,0.9973118279569892,0.9973118279569892,0.8991935483870968,0.0,1.0,-1,0.0,0.25,0.25,0.0,8.333333333333332,99.0,35.77777777777778,100.0,100.0,25.0,99.25,81.0625,0.2688172043010753,100.0,100.0,99.00268817204301,74.81787634408602,100.0,100.0,100.0,99.0,99.75,75.0,100.0,100.0,99.75,93.6875,83.33333333333333,3.225806451612903,0.0,83.33333333333331,9.677419354838708,0.0,100.0,48.25268817204301,99.1008064516129,99.1008064516129,67.88270398972664,B
CHAMPAWAT,BARAKOT,BAIRAOM,Dungraorn,54150,29.413823,80.082448,17,78.0,40.0,38.0,78.0,0.0,52.0,26.0,23.0,1.0,22.0,0,0,2,2,5,5,1,0,2,2,1,0,3,4,2,2,0,2,14,2,0,0.0,0.0,1.0,1.0,1,5.0,0.6,1.0,5,64.1025641025641,0.983974358974359,0.983974358974359,0.9951923076923076,0.0,1.0,-1,0.0,0.25,0.25,0.0,0.0,99.0,33.0,100.0,100.0,0.0,99.0,74.75,1.6025641025641026,100.0,100.0,99.01602564102564,75.15464743589743,100.0,100.0,100.0,99.0,99.75,75.0,100.0,100.0,99.75,93.6875,0.0,17.94871794871795,0.0,0.0,53.84615384615385,0.0,100.0,38.46153846153846,99.0048076923077,99.0048076923077,63.672274530102705,B
CHAMPAWAT,BARAKOT,BALSAUN,Jamar,54216,29.439602,80.136078,26,146.0,78.0,68.0,0.0,0.0,102.0,44.0,71.0,28.0,43.0,10,0,2,2,5,5,1,0,2,2,1,0,3,3,2,0,0,0,0,2,0,38.46153846153847,0.0,0.6153846153846153,0.6153846153846153,1,5.0,0.6,1.0,5,34.24657534246575,0.9914383561643836,0.9914383561643836,0.8820468914646997,0.0,1.0,-1,0.0,0.5,0.5,38.46153846153847,0.0,99.38461538461539,45.948717948717956,100.0,100.0,0.0,99.0,74.75,0.8561643835616438,100.0,100.0,99.00856164383562,74.96618150684931,100.0,100.0,100.0,99.0,99.75,50.0,100.0,100.0,99.5,87.375,0.0,0.0,0.0,0.0,0.0,0.0,100.0,25.0,99.1179531085353,99.1179531085353,61.872597379940295,B
CHAMPAWAT,BARAKOT,BALSAUN,Balso,54218,29.425982,80.14425,144,654.0,281.0,373.0,58.0,0.0,420.0,234.0,373.0,322.0,51.0,0,1,2,2,5,5,2,2,2,2,1,0,2,3,1,18,119,18,18,2,0,0.0,0.6944444444444444,1.0,1.0,1,5.0,0.6,1.0,8,12.232415902140673,0.9969418960244648,0.9969418960244648,0.9990825688073396,0.0,1.0,0,1.0,0.5,0.5,0.0,0.6944444444444444,99.0,33.23148148148148,100.0,100.0,0.0,99.0,74.75,0.30581039755351686,100.0,100.0,99.00305810397553,74.82721712538226,100.0,100.0,100.0,99.0,99.75,50.0,100.0,99.0,99.5,87.125,82.63888888888889,2.7522935779816513,0.0,82.63888888888889,8.256880733944953,0.0,100.0,47.723942405708456,99.00091743119266,99.00091743119266,65.23821710139433,B
